trade_date,avg_price_change,median_price_change,price_volatility,stocks_traded,avg_intraday_volatility,median_volatility,max_volatility,total_volume,total_turnover,unique_stocks,advance_decline_ratio,advancing_stocks,declining_stocks,unchanged_stocks,moon_sign,moon_degree,element,quality,ruling_planet,predicted_volatility,risk_level,market_tendency,sign_numeric,element_numeric,quality_numeric
2025-05-26,0.492,0.383,0.3072,8,1.2055,1.1244,1.7728,29889786,50126354000.0,8,0.5,8,0,0,Taurus,19.5,Earth,Fixed,Venus,0.7,Low,Steady Accumulation,10,1,1
2025-05-27,-0.3594,-0.2774,0.3013,8,1.6058,1.6305,1.8795,70664563,113097887000.0,8,0.5,0,8,0,Gemini,5.86,Air,Mutable,Mercury,1.2,Medium-High,Quick Reversals,4,0,2
2025-05-28,-0.1,-0.1012,0.4673,8,1.0091,1.0467,1.1851,40368516,65466617000.0,8,0.5,4,4,0,Gemini,22.8,Air,Mutable,Mercury,1.2,Medium-High,Quick Reversals,4,0,2
2025-05-29,-0.0214,-0.1071,0.2478,8,1.3161,1.2707,2.0327,77367049,123788109000.0,8,0.25,2,6,0,Cancer,9.59,Water,Cardinal,Moon,1.3,High,Emotional Extremes,2,3,0
2025-05-30,0.1342,0.1616,0.8994,8,1.4486,1.2529,2.7444,97840533,155198681000.0,8,0.625,5,3,0,Cancer,25.49,Water,Cardinal,Moon,1.3,High,Emotional Extremes,2,3,0
2025-06-02,0.1465,0.1085,0.3122,8,1.6329,1.5211,2.4952,63189754,87382217000.0,8,0.75,6,2,0,Virgo,5.45,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-06-03,-0.9614,-1.0974,0.356,8,1.7643,1.6377,2.1184,66627348,106729729000.0,8,0.5,0,8,0,Virgo,16.7,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-06-04,0.1035,0.1462,0.8505,8,1.2304,1.2195,1.8652,46312980,73949714000.0,8,0.5,4,4,0,Virgo,27.42,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-06-05,0.2253,0.216,0.8556,8,1.5434,1.5075,2.2154,70825014,114091909000.0,8,0.625,5,3,0,Libra,7.92,Air,Cardinal,Venus,0.8,Low,Balanced Trading,6,0,0
2025-06-06,0.5876,0.487,0.5696,8,1.4191,1.2697,2.7572,63837889,98523382000.0,8,0.875,7,1,0,Libra,18.45,Air,Cardinal,Venus,0.8,Low,Balanced Trading,6,0,0
2025-06-09,-0.3568,-0.3991,0.8631,8,1.2718,1.1725,2.2799,47471045,71476786000.0,8,0.375,3,5,0,Scorpio,22.57,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
2025-06-10,-0.3768,-0.5811,0.7029,8,1.3813,1.2949,1.8939,55537764,92610137000.0,8,0.25,2,6,0,Sagittarius,5.25,Fire,Mutable,Jupiter,1.0,Medium,Expansive Growth,8,2,2
2025-06-11,0.2959,0.0893,1.0192,8,1.3476,1.0826,2.7986,51696024,87110692000.0,8,0.625,5,3,0,Sagittarius,18.58,Fire,Mutable,Jupiter,1.0,Medium,Expansive Growth,8,2,2
2025-06-12,-1.005,-0.9523,0.6345,8,1.9147,1.702,3.338,62629904,103847501000.0,8,0.5,0,8,0,Capricorn,2.33,Earth,Cardinal,Saturn,0.6,Very Low,Disciplined Climb,3,1,0
2025-06-13,1.1092,1.145,0.8262,8,1.7513,1.5598,3.1446,50507630,79406376000.0,8,0.875,7,1,0,Capricorn,16.19,Earth,Cardinal,Saturn,0.6,Very Low,Disciplined Climb,3,1,0
2025-06-16,0.9672,0.9031,0.5568,8,1.6847,1.4776,2.5703,44821851,73543475000.0,8,0.5,7,0,1,Aquarius,25.84,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-06-17,-0.245,-0.2367,0.7755,8,1.2287,1.1035,1.9621,50805402,82722024000.0,8,0.375,3,5,0,Pisces,8.2,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-06-18,-0.0329,-0.0344,0.9571,8,1.4681,1.4475,2.6967,42499329,72122258000.0,8,0.5,4,4,0,Pisces,20.36,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-06-19,-0.1023,0.1481,0.5029,8,1.0916,1.0988,1.4577,53233215,84520506000.0,8,0.625,5,3,0,Aries,2.61,Fire,Cardinal,Mars,1.4,High,Aggressive Bull Runs,1,2,0
2025-06-20,1.4111,1.2239,0.9661,8,2.0286,1.666,3.9894,99594558,165107193000.0,8,0.5,8,0,0,Aries,15.26,Fire,Cardinal,Mars,1.4,High,Aggressive Bull Runs,1,2,0
2025-06-23,-0.3173,0.0127,0.7335,8,1.3285,1.3175,2.3429,38804011,67975210000.0,8,0.5714285714285714,4,3,1,Taurus,28.65,Earth,Fixed,Venus,0.7,Low,Steady Accumulation,10,1,1
2025-06-24,-0.7693,-0.8874,0.4166,8,1.7822,1.7437,2.392,71381920,118913659000.0,8,0.5,0,8,0,Gemini,15.17,Air,Mutable,Mercury,1.2,Medium-High,Quick Reversals,4,0,2
2025-06-25,0.5763,0.4948,0.701,8,1.2333,0.9598,2.1887,45913788,76985858000.0,8,0.875,7,1,0,Cancer,2.06,Water,Cardinal,Moon,1.3,High,Emotional Extremes,2,3,0
